,type,bedroom,bathroom,size(sqft),address,price,address,url
21,Appartement, 4 1/2 et coin détente,1,1 000,"92 Rue Lahaie, Laval, QC H7G 3A9, Canada",1 100,"92 Rue Lahaie, Laval, QC H7G 3A9, Canada",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/beau-logement-4-1-piece-des-septembre-2021/1578812764
22,Appartement, 4 1/2 et coin détente,1,1 150,", Montréal H2B 2W3 QC, Canada",1 450,", Montr�al H2B 2W3 QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ideal-55-ans-et-4-grand-et-eclaire-ahuntsic-est/1557458937
23,Appartement,4 1/2,1,1 000,"H1T2Z7, Canada",1 275,"H1T2Z7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/super-apt-41-2-rosemont-renove/1580017197
24,Appartement,4 1/2,1,900,"H1B4N2, Canada",830,"H1B4N2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-aire-ouverte-a-louer-pour-1-sept-cession-de-bail/1582247139
25,Appartement,4 1/2,2,1 200,"6300 Lennox, Montreal, QC, H3S 2N8",2 495,"6300 Lennox, Montreal, QC, H3S 2N8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/41-2-2-bedrooms-chambres-ad-outremont-cdn-penthouse/1577784809
26,Appartement,3 1/2,1,Non disponible,"1000 Pratt, Montreal, QC, H2V 2V3",1 375,"1000 Pratt, Montreal, QC, H2V 2V3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/for-rent-3-1-2-outremont-1-bedroom-stanislass-september/1540931401
27,Appartement,4 1/2,1,Non disponible,"1000 Pratt, Montreal, QC, H2V 2V3",1 695,"1000 Pratt, Montreal, QC, H2V 2V3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/outremont-41-2-octobre-2-chambres-bedrooms-september/1505846054
28,Appartement,4 1/2,1,728,"9430,Boul. Lacordaire, St-Léonard, QC, H1R 3N3",1 495,"9430,Boul. Lacordaire, St-L�onard, QC, H1R 3N3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-neuf-41-2-a-louer-saint-leonard-a-partir-du-1495/1528170374
29,Appartement,4 1/2,1,Non disponible,"3280 DE LA PÉPINIÈRE, MONTREAL, QC, H1N 3N4",1 295,"3280 DE LA P�PINI�RE, MONTREAL, QC, H1N 3N4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-4-1-2-renove-pres-de-metro-cadillac/1553548559
30,Appartement,3 1/2,1,Non disponible,"3280 DE LA PÉPINIÈRE, MONTREAL, QC, H1N 3N4",995,"3280 DE LA P�PINI�RE, MONTREAL, QC, H1N 3N4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-31-2-renove-pres-de-metro-cadillac/1564857144
31,Appartement,3 1/2,1,Non disponible,"10112, ST-MICHEL, QC, H1H 5H1",995,"10112, ST-MICHEL, QC, H1H 5H1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-3-1-2-construction-neuf-10112-st-michel/1559048777
32,Appartement,3 1/2,1,50,"5685 Rue Hochelaga, H1N 1W2, Montréal, QC",720,"5685 Rue Hochelaga, H1N 1W2, Montr�al, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-1-2/1582245775
33,Appartement,4 1/2,1,1 000,"H3L1P3, Canada",1 200,"H3L1P3, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-montreal-ahuntsic-1200-par-mois-514-802-3311/1582245358
34,Appartement,4 1/2,1,1 000,"9517 Rue Lajeunesse, Montréal, QC H2M 1S7, Canada",1 100,"9517 Rue Lajeunesse, Montr�al, QC H2M 1S7, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-chamber-9517-rue-lajeunesse-ahuntsic-metro-sauve/1582244754
35,Appartement,4 1/2,2,994,"4800 rue Paul-Pouliot, Pierrefonds, QC, H9K 0A7",1 400,"4800 rue Paul-Pouliot, Pierrefonds, QC, H9K 0A7",https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-1-2-condo-neuf-a-louer-a-pierrefonds/1533903550
36,Appartement,4 1/2,1,850,"2650 Beaubien est, H1Y 1G7, Montreal, QC",1 295,"2650 Beaubien est, H1Y 1G7, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-rosemont-chauf-eau-2ch-reno-terrasse-gar-2e-ave-beaubien/1582052849
37,Appartement,3 1/2,1,550,"7990 d'iberville, h2e2z5, montreal, QC",550,"7990 d'iberville, h2e2z5, montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-iberville:-2-1-2-renove-disponible-maitenant/1582050018
38,Appartement,4 1/2,1,600,"J4K2W1, Canada",925,"J4K2W1, Canada",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/appartement-4-1-2-a-louer-longueuil-6-mins-de-marche-du-metro/1582049277
39,Appartement,3 1/2,1,Non disponible,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",1 220,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/3-1-2-condominium-de-qualite-superieure-a-boisbriand/1544935655
40,Appartement,4 1/2,1,900,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",1 705,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-condominium-de-qualite-superieure-a-boisbriand/1544935653
41,Appartement,3 1/2,1,715,"80 Chemin Du Bord-du-Lac-Lakeshore, Pointe-Claire, QC, H9S4H6",1 645,"80 Chemin Du Bord-du-Lac-Lakeshore, Pointe-Claire, QC, H9S4H6",https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/large-3-1-2-pointe-claire-september/1581332874
42,Appartement,4 1/2,2,1 120,"80 Chemin Du Bord-du-Lac-Lakeshore, Pointe-Claire, QC, H9S4H6",2 560,"80 Chemin Du Bord-du-Lac-Lakeshore, Pointe-Claire, QC, H9S4H6",https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-1-2-2-baths-pointe-claire/1575363393
43,Appartement,4 1/2,1,690,"1400 Maisonneuve Est, Montréal, QC, H2L2X4",1 870,"1400 Maisonneuve Est, Montr�al, QC, H2L2X4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-months-free-2-bedrooms-apartment-to-rent-montreal-village/1579811355
44,Appartement,3 1/2,1,535,"1400 Maisonneuve Est, Montréal, QC, H2L2X4",1 590,"1400 Maisonneuve Est, Montr�al, QC, H2L2X4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-a-louer-montreal-ville-marie/1564868062
45,Appartement, 1 ½ ou 2 ½,1,415,"1400 Maisonneuve Est, Montréal, QC, H2L2X4",1 200,"1400 Maisonneuve Est, Montr�al, QC, H2L2X4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/furnished-short-term-studio-downtown-montreal-all-incls/1580853478
46,Appartement,4 1/2,1,680,"3794 Henri-Bourassa, Montréal-Nord, QC, H1H1K2",1 100,"3794 Henri-Bourassa, Montr�al-Nord, QC, H1H1K2",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/beau-4-ahuntsic-octobre-1100-00/1579776660
47,Appartement,4 1/2,1,745,"7050 Bombardier, Anjou, QC, H1J2G1",1 267,"7050 Bombardier, Anjou, QC, H1J2G1",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/anjou-4-1-2-tout-inclus-novembre/1580281649
48,Appartement,4 1/2,1,745,"7050 Bombardier, Anjou, QC, H1J2G1",1 456,"7050 Bombardier, Anjou, QC, H1J2G1",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/1-mois-gratuit-4-1-2-tout-inclus/1575369686
49,Appartement,4 1/2,1,720,"4435 Bellechasse, Montréal, QC, H1T3R9",1 195,"4435 Bellechasse, Montr�al, QC, H1T3R9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-4-renove-rosemont-pie-ix/1569980849
50,Appartement,3 1/2,1,750,"2645 Beaubien est, H1Y 1G6, Montreal, QC",950,"2645 Beaubien est, H1Y 1G6, Montreal, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-rosemont-chauf-electro-1-ch-reno-gar-terrasse-2e-beaubien/1582048286
51,Appartement,4 1/2,1,600,"6000 Av du Parc, Montréal, QC H2V 4H3, Canada",1 280,"6000 Av du Parc, Montr�al, QC H2V 4H3, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-w-fridge-stove-hot-water-wi-fi-included/1582047984
52,Appartement,3 1/2,1,690,"Bd du Souvenir, Laval, QC, Canada, H8Z1M6",875,"Bd du Souvenir, Laval, QC, Canada, H8Z1M6",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/31-2-appartement-a-louer-apartment-for-rent/1582047824
53,Appartement, 4 1/2 et coin détente,1,950,"Rue de Mont Royal, Saint-Hubert, QC J4T 3L2, Canada",955,"Rue de Mont Royal, Saint-Hubert, QC J4T 3L2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-st-hubert-2bed-room-1-bath-room-dispo-immediai5-mint-mtl/1582047585
54,Appartement, 4 1/2 et coin détente,1,875,"1777 maple, J7L 2K9, Mascouche, QC",875,"1777 maple, J7L 2K9, Mascouche, QC",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-a-louer-a-mascouche/1582047539
55,Appartement,4 1/2,1,1 000,"Montréal, QC H4A3J8, Canada",1 495,"Montr�al, QC H4A3J8, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-spacieux-4-1-2-ndg-1-minute-de-metro-villa-maria/1550866540
56,Appartement,3 1/2,1,650,", H2G 2V8, montreal, QC, Canada",750,", H2G 2V8, montreal, QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-tres-spacieux-chauffe-mois-gratuit-metro-fabre/1554608706
57,Appartement,4 1/2,1,1 000,"H2E2J3, Canada",1 350,"H2E2J3, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/enorme-4-villeray-mois-gratuit-renove-metro-fabre-style-condo/1565668938
58,Appartement, 1 ½ ou 2 ½,1,1 000,"Rue Waverly, Montréal, QC H2T 2Y2, Canada",1 400,"Rue Waverly, Montr�al, QC H2T 2Y2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mile-end-loft-grand-et-meuble-spacious-and-furnished/1582046813
59,Appartement, 1 ½ ou 2 ½,1,Non,"6585 Avenue du Parc, montreal, QC, H2V 4J1",840,"6585 Avenue du Parc, montreal, QC, H2V 4J1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-parc-a-840m-2-1-2-tout-inclus-840/1565476504
60,Appartement,4 1/2,1,1 000,"Montreal, QC H3X2C2, Canada",1 495,"Montreal, QC H3X2C2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-ndg-renove-tres-spacieux-4-1-2-min-a-pied-du-metro/1563992986
61,Appartement,4 1/2,1,1 000,"5341 Chemin de la Côte-Saint-Luc, Montréal, QC H3X 2C2, Canada",1 350,"5341 Chemin de la C�te-Saint-Luc, Montr�al, QC H3X 2C2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-village-monkland-metro-villa-maria-renove-electros/1481799943
62,Appartement, 1 ½ ou 2 ½,1,412,"3463 Sainte Famille, Montréal, QC, H2X 2K7",1 200,"3463 Sainte Famille, Montr�al, QC, H2X 2K7",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-2-meuble-et-equipe-au-centre-ville/1581882129
63,Appartement,4 1/2,2,Non,"1538 docteur-penfield, Montreal, QC, H3G 1B9",1 800,"1538 docteur-penfield, Montreal, QC, H3G 1B9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer-promotion/1505829726
64,Appartement, 4 1/2 et coin détente,1,950,"712 De l'église, Verdun H4G 2M8 QC, Canada",1 395,"712 De l'�glise, Verdun H4G 2M8 QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-verdun-recemment-renove-a-louer/1581665852
65,Appartement,4 1/2,1,876,"1530 DR PENFIELD, Montreal, QC, H3G 1C1",1 616,"1530 DR PENFIELD, Montreal, QC, H3G 1C1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-downtown-mc-gill-4-1-2-2-bedrooms-august/1505846076
66,Appartement,4 1/2,1,Non,"1255 Rue de Bullion, Montréal, QC, H2X 0B9",1 750,"1255 Rue de Bullion, Montr�al, QC, H2X 0B9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-condo-apartment-a-louer-for-rent-ville-marie-centre-ville/1505736136
67,Appartement, 4 1/2 et coin détente,1.5,1 000,"2593 Rue Beauclerk, Montréal, QC H1N 3J4, Canada",1 200,"2593 Rue Beauclerk, Montr�al, QC H1N 3J4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-5-et-demie-a-louer/1580220100
68,Appartement,5 1/2,2,1 200,"1400 Avenue des Pins Ouest, Montréal, QC, H3G 1B1",2 115,"1400 Avenue des Pins Ouest, Montr�al, QC, H3G 1B1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-au-1400-avenue-des-pins-ouest-octobre-2021/1578499032
69,Appartement,4 1/2,2,Oui,"1400 Avenue des Pins Ouest, Montréal, QC, H3G 1B1",3 000,"1400 Avenue des Pins Ouest, Montr�al, QC, H3G 1B1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-meubles-location-dun-mois-et-au-centre-ville/1525467880
70,Appartement,4 1/2,2,1 200,"1400 Avenue des Pins Ouest, Montréal, QC, H3G 1B1",2 055,"1400 Avenue des Pins Ouest, Montr�al, QC, H3G 1B1",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/very-large-4-1-2-steps-from-mcgill-september-2021/1525467885
71,Appartement,4 1/2,1,1 000,"10806 Av. Gariépy, Montréal-Nord, QC H1H 4C5, Canada",1 200,"10806 Av. Gari�py, Montr�al-Nord, QC H1H 4C5, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/sous-location-grand-4-1-2-entierement-equipe/1580270842
72,Appartement, 1 ½ ou 2 ½,1,400,"1701 Rue Sainte-Catherine E, Montréal, QC H2L 4J6, Canada",785,"1701 Rue Sainte-Catherine E, Montr�al, QC H2L 4J6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-montreal-metro-papineau-nice-studio-with-appliances/1582044507
73,Appartement,4 1/2,1,800,"375 rue Osborne, Verdun H4H 1X1 QC",1 050,"375 rue Osborne, Verdun H4H 1X1 QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-2-br-double-room-main-flr-steps-from-waterfront-verdun/1581659401
74,Appartement,4 1/2,1,500,"3569 boulevard Décarie, H4A 3J4, Montréal, QC",950,"3569 boulevard D�carie, H4A 3J4, Montr�al, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/semi-sous-sol-lumineux-chauffe/1581659395
75,Appartement,5 1/2,1,1 125,"8839 Rue Berri, Montréal, QC H2M 2T9, Canada",1 275,"8839 Rue Berri, Montr�al, QC H2M 2T9, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-haut-de-duplex-a-2-mins-du-metro-cremazie/1577512422
76,Appartement,5 1/2,1,800,"7228 Rue St-Hubert, Montréal, QC H2R 2N1, Canada",1 250,"7228 Rue St-Hubert, Montr�al, QC H2R 2N1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-6-100-m-from-jean-talon-metro-sept-1st-1-250/1576494395
77,Appartement,6 1/2,1,800,"7228 Rue St-Hubert, Montréal, QC H2R 2N1, Canada",1 250,"7228 Rue St-Hubert, Montr�al, QC H2R 2N1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-6-100-m-metro-jean-talon-1-sept-1-250/1576492863
78,Appartement,5 1/2,1,684,", Verdun  H4G2W7 QC, Canada",1 075,", Verdun  H4G2W7 QC, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-5-1-2-a-louer-a-verdun/1581656752
79,Appartement,4 1/2,1,755,"175 Pl. du Collège, Longueuil, QC J4J 1G3, Canada",1 150,"175 Pl. du Coll�ge, Longueuil, QC J4J 1G3, Canada",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-1-2-tres-lumineux-renove-secteur-recherche/1581654951
80,Appartement,3 1/2,1,635,"360 Boulevard René-Lévesque O, Montréal, QC H2Z 1L9, Canada",1 715,"360 Boulevard Ren�-L�vesque O, Montr�al, QC H2Z 1L9, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/one-bedroom-apartment/1581654896
81,Appartement,4 1/2,2,Non,"5775 Cavendish Boulevard, Montreal, QC, H4W 3L9",2 175,"5775 Cavendish Boulevard, Montreal, QC, H4W 3L9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/great-2-bedroom-apartment-for-rent-in-cote-st-luc/1533538298
82,Appartement,3 1/2,1,800,"4266 Rue Saint-Zotique E, Montréal, QC H1T 1L1, Canada",900,"4266 Rue Saint-Zotique E, Montr�al, QC H1T 1L1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-dans-rosemont-disponible-immediatement/1580151683
83,Appartement,5 1/2,1.5,1 200,"6275 Av. de Repentigny, Montréal, QC H1M 2G9, Canada",1 585,"6275 Av. de Repentigny, Montr�al, QC H1M 2G9, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rosemont-5-1-2-refait-a-neuf-en-2021-1-585-mois/1579731129
84,Appartement,4 1/2,1,Non,"8035, boul. Saint-Laurent, Brossard, QC, J4X 0B1",1 860,"8035, boul. Saint-Laurent, Brossard, QC, J4X 0B1",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/appartements-a-2-chambres-4-1-2-de-style-condo-a-brossard/1505782837
85,Appartement,4 1/2,1,Non,"3500 de la montagne, Montreal, QC, H3G 1B9",1 650,"3500 de la montagne, Montreal, QC, H3G 1B9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-grand-4/1565757766
86,Appartement,3 1/2,1,550,"8479 Saint-Hubert, H2P 1Z6, Montréal, QC",1 050,"8479 Saint-Hubert, H2P 1Z6, Montr�al, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-entierement-renove-2-balcons-air-climatise-metro-cremazie/1581654878
87,Appartement,3 1/2,1,800,"12226 Rue Joseph-Casavant, Montréal, QC H3M 2C6, Canada",800,"12226 Rue Joseph-Casavant, Montr�al, QC H3M 2C6, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer/1581654189
88,Appartement,4 1/2,1,950,"635 Rue Darveau, Longueuil, QC J4L 2V4, Canada",1 090,"635 Rue Darveau, Longueuil, QC J4L 2V4, Canada",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/grand-4-1-2-renove-a-louer/1581653558
89,Appartement,3 1/2,1,950,"34 Av. Nelson, Outremont, QC H2V 3Z5, Canada",840,"34 Av. Nelson, Outremont, QC H2V 3Z5, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/central-large-airy-basement-apt-31-2/1581652926
90,Appartement,3 1/2,1,540,"6405 Rue Mazarin, Montréal, QC H4E 2X4, Canada",710,"6405 Rue Mazarin, Montr�al, QC H4E 2X4, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/metro-monk-charmant-3-dispo-1er-octobre/1581652499
91,Appartement,5 1/2,1,900,"Rue Cousineau, Laval, QC H7G 3K7, Canada",1 050,"Rue Cousineau, Laval, QC H7G 3K7, Canada",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/grand-5-1-2-a-louer/1580997277
92,Appartement,3 1/2,1,1,"5501 Av. Adalbert, Côte Saint-Luc, QC H4W 2B1, Canada",940,"5501 Av. Adalbert, C�te Saint-Luc, QC H4W 2B1, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-lumineux-3-5-cote-st-luc/1581108899
93,Appartement,3 1/2,1,510,"2116 Rue Sauvé E, Montréal, QC H2B 1A9, Canada",595,"2116 Rue Sauv� E, Montr�al, QC H2B 1A9, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-a-ahuntsic-a-partir-du-1-octobre/1581574389
94,Appartement,5 1/2,1,900,"5636 Bd Saint-Michel, Montréal, QC H1Y 2E2, Canada",1 300,"5636 Bd Saint-Michel, Montr�al, QC H1Y 2E2, Canada",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/location-5-et-demi-masson-cours-stationnement/1581554584
95,Appartement, 1 ½ ou 2 ½,1,400,"5051 Rue Berri, H2J 2S1, Montréal, QC",875,"5051 Rue Berri, H2J 2S1, Montr�al, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/plateau-mont-royal-a-louer-:-appartement-2-metro-laurier/1581637436
96,Appartement,3 1/2,1,500,"2104 Rue de Renaix, Laval, QC H7M 6E6, Canada",895,"2104 Rue de Renaix, Laval, QC H7M 6E6, Canada",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/3-1-2-apartment-laval-tout-inclus-chauffage-elec-eau-et-wif/1581646309
